epoch,accuracy,time_sec
1,0.4491111111111111,42.36026954650879
2,0.9628888888888889,88.58664631843567
3,0.943,135.63461184501648
4,0.9368333333333333,181.27541995048523
5,0.9544444444444444,226.25134658813477
6,0.9511111111111111,274.11880254745483
7,0.96,320.2860863208771
8,0.9567222222222223,366.3254323005676
9,0.9628333333333333,414.13072967529297
10,0.9539444444444445,460.5778925418854
11,0.9623888888888888,508.26178669929504
12,0.9615555555555556,557.3440628051758
13,0.9617777777777777,604.0823249816895
14,0.9542222222222222,648.7380683422089
15,0.9590555555555556,695.2400257587433
16,0.9698888888888889,739.5204830169678
17,0.9625555555555556,785.0733368396759
18,0.9651111111111111,830.7510375976562
19,0.9682222222222222,875.4565556049347
20,0.969,919.4135701656342
