epoch,accuracy,time_sec
1,0.45944444444444443,24.385758876800537
2,0.6081111111111112,49.17779231071472
3,0.9088888888888889,73.49640083312988
4,0.9141666666666667,98.68502831459045
5,0.9028333333333334,124.14583110809326
6,0.9351111111111111,149.67256689071655
7,0.9236666666666666,175.87555289268494
8,0.9195555555555556,202.41191005706787
9,0.9302222222222222,228.22504091262817
10,0.9326111111111111,255.04058027267456
11,0.8998888888888888,282.2161304950714
12,0.9405,310.45255756378174
13,0.932,339.8613531589508
14,0.9338888888888889,368.5810110569
15,0.9320555555555555,398.00180554389954
16,0.9376666666666666,423.62203884124756
17,0.937,452.75657200813293
18,0.8847222222222222,480.9886405467987
19,0.9523333333333334,507.7026300430298
20,0.9096666666666666,534.8043038845062
