epoch,accuracy,time_sec
1,0.5488333333333333,36.063119649887085
2,0.9068888888888889,75.36891794204712
3,0.9833333333333333,112.68372011184692
4,0.9837777777777778,149.93846678733826
5,0.9835,188.59425830841064
6,0.981,226.64578866958618
7,0.9823888888888889,264.4423933029175
8,0.9828888888888889,302.53021264076233
9,0.9829444444444444,340.30615305900574
10,0.9825555555555555,378.18087577819824
11,0.9820555555555556,415.94015073776245
12,0.9826666666666667,453.60563564300537
13,0.9841111111111112,491.35790824890137
14,0.9836666666666667,529.354071855545
15,0.9841666666666666,567.1526989936829
16,0.9841111111111112,604.9016361236572
17,0.9841111111111112,642.5619676113129
18,0.9845,681.1517069339752
19,0.9841111111111112,720.3696029186249
20,0.9846111111111111,756.6661648750305
