epoch,accuracy,time_sec
1,0.42983333333333335,52.13265633583069
2,0.8381666666666666,108.10402822494507
3,0.9655,166.9600908756256
4,0.9676111111111111,226.248779296875
5,0.9574444444444444,281.22421503067017
6,0.9578888888888889,335.82333517074585
7,0.9651666666666666,390.4641625881195
8,0.9434444444444444,445.1694746017456
9,0.9568333333333333,500.3568654060364
10,0.9530555555555555,555.3765134811401
11,0.9206111111111112,614.407527923584
12,0.9322777777777778,671.1728012561798
13,0.9531666666666667,724.0945048332214
14,0.9351111111111111,777.8960807323456
15,0.9435555555555556,833.3067157268524
16,0.9537222222222222,886.2475621700287
17,0.9463888888888888,939.6160242557526
18,0.9570555555555555,993.2654368877411
19,0.9460555555555555,1049.2408576011658
20,0.9087777777777778,1105.3225677013397
