epoch,accuracy,time_sec
1,0.623,56.243385314941406
2,0.9682777777777778,117.85283350944519
3,0.9680555555555556,178.3747968673706
4,0.9753333333333334,240.0146679878235
5,0.9696666666666667,301.71384382247925
6,0.9721666666666666,363.9536807537079
7,0.9675,424.94519448280334
8,0.9765,486.8820843696594
9,0.971,549.0864322185516
10,0.971,610.1884033679962
11,0.9750555555555556,671.7963345050812
12,0.9710555555555556,733.2932524681091
13,0.9749444444444444,795.4774162769318
14,0.9802222222222222,857.2032577991486
15,0.9790555555555556,918.6745345592499
16,0.9740555555555556,980.9349393844604
17,0.9706666666666667,1043.6870613098145
18,0.9759444444444444,1105.2234954833984
19,0.9762777777777778,1166.4267694950104
20,0.9745555555555555,1229.0142662525177
