epoch,accuracy,time_sec
1,0.5668888888888889,57.124900102615356
2,0.8668333333333333,120.56855010986328
3,0.9521666666666667,182.5457124710083
4,0.9207777777777778,242.98717975616455
5,0.9191666666666667,303.9854655265808
6,0.9356666666666666,367.55126762390137
7,0.9568333333333333,430.09288811683655
8,0.9749444444444444,492.88389229774475
9,0.9422222222222222,555.2050049304962
10,0.9627222222222223,616.6928889751434
11,0.9493888888888888,678.6341302394867
12,0.9289444444444445,735.9248812198639
13,0.925,795.7005863189697
14,0.9706666666666667,852.2541019916534
15,0.91,914.3295750617981
16,0.9731666666666666,973.9188787937164
17,0.9651666666666666,1035.8251237869263
18,0.9662777777777778,1094.5025539398193
19,0.9692777777777778,1153.4700877666473
20,0.9382222222222222,1216.6278946399689
