epoch,accuracy,time_sec
1,0.8236666666666667,39.22168469429016
2,0.966,73.34118485450745
3,0.9539444444444445,107.10334897041321
4,0.9482777777777778,141.01706409454346
5,0.9532222222222222,174.85275030136108
6,0.9547222222222222,209.85304141044617
7,0.9569444444444445,243.83639860153198
8,0.9545,278.07238268852234
9,0.9571111111111111,312.2914354801178
10,0.9577777777777777,346.59193301200867
11,0.9552777777777778,381.59211707115173
12,0.9577777777777777,415.9736795425415
13,0.964,450.31008529663086
14,0.96,485.2250301837921
15,0.9591111111111111,520.3560044765472
16,0.9618888888888889,554.9104914665222
17,0.9587777777777777,589.4141690731049
18,0.9653333333333334,624.1643657684326
19,0.9668333333333333,659.187340259552
20,0.9706666666666667,693.3407647609711
