epoch,accuracy,time_sec
1,0.5236111111111111,22.941218852996826
2,0.9403888888888889,42.45224595069885
3,0.9395,61.08933687210083
4,0.898,80.04324269294739
5,0.901,98.5634868144989
6,0.9040555555555555,117.90962505340576
7,0.9031666666666667,136.42768740653992
8,0.9032777777777777,155.0699315071106
9,0.8877777777777778,173.81093072891235
10,0.9021111111111111,193.064528465271
11,0.8966666666666666,212.37796258926392
12,0.8991111111111111,231.99846291542053
13,0.9588333333333333,252.63086533546448
14,0.9123333333333333,272.4848713874817
15,0.894,302.23307371139526
16,0.8910555555555556,370.79903507232666
17,0.8916666666666667,442.5699145793915
18,0.8973333333333333,505.575927734375
19,0.9090555555555555,524.6117475032806
20,0.8977222222222222,543.3487284183502
