epoch,accuracy,time_sec
1,0.7065555555555556,58.15267634391785
2,0.9747222222222223,99.08573532104492
3,0.9713333333333334,133.09912157058716
4,0.9726111111111111,167.13200330734253
5,0.9772777777777778,200.55924701690674
6,0.9746666666666667,234.66662430763245
7,0.9723333333333334,268.52008748054504
8,0.9786666666666667,302.1561737060547
9,0.9661666666666666,336.89008688926697
10,0.9767777777777777,372.1549756526947
11,0.9753333333333334,407.0658209323883
12,0.9692222222222222,441.76710176467896
13,0.9739444444444444,476.31059551239014
14,0.9765,510.9077298641205
15,0.9795,545.1707191467285
16,0.9602777777777778,579.64985704422
17,0.9723888888888889,614.1212611198425
18,0.9785,648.6540081501007
19,0.9778888888888889,683.2055683135986
20,0.9791666666666666,717.7150087356567
