epoch,accuracy,time_sec
1,0.08333333333333333,63.216559648513794
2,0.16666666666666666,137.67417335510254
3,0.16666666666666666,213.64610624313354
4,0.24,284.3580496311188
5,0.268,353.8774220943451
6,0.2866666666666667,426.36956334114075
7,0.31522222222222224,494.6652252674103
8,0.7130555555555556,550.5540652275085
9,0.8052222222222222,587.9277844429016
10,0.9695555555555555,616.3089451789856
11,0.9148333333333334,644.621319770813
12,0.9552777777777778,672.902914762497
13,0.9271666666666667,701.0512084960938
14,0.9362777777777778,729.3794527053833
15,0.9282222222222222,757.8202698230743
16,0.9453888888888888,786.1144442558289
17,0.9407777777777778,814.4867889881134
18,0.9159444444444444,842.8004364967346
19,0.8741666666666666,871.0153121948242
20,0.9000555555555556,899.4557871818542
