epoch,accuracy,time_sec
1,0.7177222222222223,27.864362478256226
2,0.9754444444444444,52.950570583343506
3,0.9700555555555556,78.06786036491394
4,0.9716666666666667,102.9984290599823
5,0.9767777777777777,126.14850616455078
6,0.9758333333333333,149.48246836662292
7,0.9682777777777778,173.8035969734192
8,0.9762777777777778,197.80755066871643
9,0.9726666666666667,222.55546832084656
10,0.9788888888888889,247.00131845474243
11,0.9782222222222222,271.564395904541
12,0.9695555555555555,296.0725562572479
13,0.9773888888888889,320.75527143478394
14,0.9798333333333333,345.44360184669495
15,0.979,369.8269889354706
16,0.9791111111111112,394.8799510002136
17,0.9736666666666667,419.41526317596436
18,0.9786666666666667,444.25945377349854
19,0.9798888888888889,468.84434628486633
20,0.9803333333333333,493.39218044281006
