epoch,accuracy,time_sec
1,0.16666666666666666,33.570032835006714
2,0.19694444444444445,74.40687823295593
3,0.3660555555555556,115.69128942489624
4,0.29105555555555557,154.0383336544037
5,0.6877222222222222,182.45075058937073
6,0.6257777777777778,203.53370428085327
7,0.7447777777777778,227.30593347549438
8,0.6472222222222223,248.59077715873718
9,0.5593888888888889,269.88363575935364
10,0.7676666666666667,290.9719886779785
11,0.6683888888888889,312.0565800666809
12,0.7332222222222222,333.2716426849365
13,0.9123333333333333,354.3691747188568
14,0.8334444444444444,375.39597725868225
15,0.8127777777777778,396.4112341403961
16,0.9397777777777778,417.45586109161377
17,0.818,438.4499728679657
18,0.9285,459.603063583374
19,0.9545,480.65234637260437
20,0.8606111111111111,501.8499000072479
