epoch,accuracy,time_sec
1,0.716,45.19685435295105
2,0.9728888888888889,74.08533644676208
3,0.9759444444444444,97.98082542419434
4,0.9783333333333334,121.83091902732849
5,0.9782777777777778,145.76979446411133
6,0.9681111111111111,169.71735095977783
7,0.9755,193.78530883789062
8,0.9674444444444444,218.20530796051025
9,0.9680555555555556,242.68219184875488
10,0.9726111111111111,267.7897925376892
11,0.9741666666666666,292.1827783584595
12,0.974,317.16507267951965
13,0.9792222222222222,342.05468463897705
14,0.9796111111111111,366.61057710647583
15,0.9635,391.3481261730194
16,0.9593888888888888,415.8062992095947
17,0.9685,440.47193789482117
18,0.9771111111111112,465.0227155685425
19,0.9698888888888889,490.0873348712921
20,0.9681666666666666,514.7295694351196
