epoch,accuracy,time_sec
1,0.6002777777777778,33.70621418952942
2,0.8558333333333333,70.54808497428894
3,0.9307222222222222,107.34369158744812
4,0.9562777777777778,143.8885097503662
5,0.9624444444444444,180.54379534721375
6,0.9666666666666667,217.27337551116943
7,0.9588888888888889,251.91251587867737
8,0.9562222222222222,285.5245203971863
9,0.9573888888888888,321.8582270145416
10,0.9464444444444444,358.0522677898407
11,0.9286111111111112,397.1925377845764
12,0.943,437.88747477531433
13,0.9278333333333333,477.7812716960907
14,0.9556111111111111,518.1761639118195
15,0.9355555555555556,557.0471904277802
16,0.9408333333333333,595.9229221343994
17,0.9608333333333333,634.8834383487701
18,0.9458333333333333,672.9647016525269
19,0.9697222222222223,717.017406463623
20,0.9461111111111111,758.3015789985657
