epoch,accuracy,time_sec
1,0.3258333333333333,25.838159799575806
2,0.6201111111111111,53.6733181476593
3,0.9047222222222222,81.25067830085754
4,0.9146666666666666,110.80448317527771
5,0.9468333333333333,140.07004070281982
6,0.9524444444444444,169.72330832481384
7,0.9475555555555556,198.55913376808167
8,0.9411666666666667,227.24029970169067
9,0.9031111111111111,254.84411716461182
10,0.8922777777777777,287.99192810058594
11,0.8861666666666667,317.7242603302002
12,0.9422222222222222,346.6220693588257
13,0.8926111111111111,377.7525727748871
14,0.895,407.33656215667725
15,0.9525,436.71285581588745
16,0.9457222222222222,466.62081241607666
17,0.9273333333333333,495.8516697883606
18,0.933,528.9955575466156
19,0.8852777777777778,561.9292349815369
20,0.8913888888888889,593.5687935352325
