epoch,accuracy,time_sec
1,0.653,53.10676717758179
2,0.9287222222222222,105.51680493354797
3,0.9596666666666667,159.9741473197937
4,0.9301666666666667,212.24643969535828
5,0.9425555555555556,266.278133392334
6,0.9375555555555556,325.96806812286377
7,0.9635,386.3943588733673
8,0.9556111111111111,446.2896478176117
9,0.9612222222222222,505.8876931667328
10,0.9491666666666667,565.8142642974854
11,0.9591666666666666,625.9815590381622
12,0.9581666666666667,685.85626912117
13,0.9632222222222222,745.6688807010651
14,0.9502777777777778,805.6069543361664
15,0.949,865.700918674469
16,0.9375,925.3180294036865
17,0.934,984.750164270401
18,0.9460555555555555,1043.9568319320679
19,0.9381111111111111,1103.0204892158508
20,0.9405555555555556,1165.0739614963531
