epoch,accuracy,time_sec
1,0.08333333333333333,44.37545299530029
2,0.11911111111111111,98.50986313819885
3,0.24033333333333334,151.88654255867004
4,0.23477777777777778,203.34912610054016
5,0.23005555555555557,254.1678159236908
6,0.4673888888888889,296.21662950515747
7,0.5859444444444445,339.2662465572357
8,0.6886666666666666,373.3913164138794
9,0.8827222222222222,397.4330394268036
10,0.8863333333333333,418.4597227573395
11,0.838,439.18546438217163
12,0.8879444444444444,459.846152305603
13,0.9337222222222222,480.6065068244934
14,0.9384444444444444,501.4627640247345
15,0.9172222222222223,522.1072611808777
16,0.8525555555555555,542.8926873207092
17,0.8976111111111111,563.5521824359894
18,0.9243333333333333,584.419721364975
19,0.9035555555555556,605.0206754207611
20,0.8835,625.6755585670471
