epoch,accuracy,time_sec
1,0.42483333333333334,21.856106758117676
2,0.8761111111111111,44.87175631523132
3,0.9410555555555555,67.83035659790039
4,0.9441111111111111,90.78516030311584
5,0.9448888888888889,113.68902540206909
6,0.9447222222222222,136.96964645385742
7,0.9405,159.8083574771881
8,0.9451666666666667,182.73601651191711
9,0.9564444444444444,205.62264823913574
10,0.9436666666666667,228.7007713317871
11,0.9466666666666667,251.6234564781189
12,0.9469444444444445,274.6307134628296
13,0.9463333333333334,298.0043249130249
14,0.95,321.0364999771118
15,0.9521666666666667,344.03596472740173
16,0.9519444444444445,367.08871269226074
17,0.9467777777777778,390.2367670536041
18,0.9573333333333334,413.6821460723877
19,0.9423333333333334,436.757981300354
20,0.9465,459.90917801856995
