epoch,accuracy,time_sec
1,0.08333333333333333,17.888073205947876
2,0.08333333333333333,38.60717797279358
3,0.08333333333333333,59.60027265548706
4,0.08333333333333333,80.67232346534729
5,0.08333333333333333,103.13631200790405
6,0.08333333333333333,125.59420680999756
7,0.08333333333333333,147.8362295627594
8,0.08333333333333333,169.86346817016602
9,0.08333333333333333,191.31763625144958
10,0.08333333333333333,213.7895007133484
11,0.08333333333333333,235.9652717113495
12,0.08333333333333333,258.841805934906
13,0.08333333333333333,281.94638562202454
14,0.08333333333333333,304.594051361084
15,0.08333333333333333,326.8187110424042
16,0.08333333333333333,349.3881359100342
17,0.08333333333333333,371.138267993927
18,0.08333333333333333,392.3063018321991
19,0.08333333333333333,414.4450180530548
20,0.08333333333333333,436.4585087299347
