epoch,accuracy,time_sec
1,0.411,15.087872982025146
2,0.6633333333333333,30.177675485610962
3,0.9601111111111111,45.18287920951843
4,0.9512777777777778,60.123247146606445
5,0.9600555555555556,75.06726932525635
6,0.9740555555555556,90.29994606971741
7,0.9756111111111111,105.2794132232666
8,0.9714444444444444,120.35785984992981
9,0.9740555555555556,135.83810353279114
10,0.9755,151.1528127193451
11,0.977,166.60337615013123
12,0.9761666666666666,182.1817033290863
13,0.9768333333333333,198.05480480194092
14,0.9711111111111111,213.84362649917603
15,0.9777222222222223,229.5517122745514
16,0.9595555555555556,245.29066371917725
17,0.9792222222222222,261.23175144195557
18,0.9793333333333333,277.0383369922638
19,0.9732222222222222,292.88948822021484
20,0.9815555555555555,308.93270349502563
