epoch,accuracy,time_sec
1,0.5780555555555555,23.588359832763672
2,0.9466666666666667,47.60848021507263
3,0.9588888888888889,73.33860802650452
4,0.9521111111111111,97.79671883583069
5,0.9703333333333334,123.67119264602661
6,0.9678333333333333,149.8530044555664
7,0.9668888888888889,176.378653049469
8,0.9648333333333333,201.59289383888245
9,0.9662777777777778,227.25464153289795
10,0.9664444444444444,257.5259757041931
11,0.9593888888888888,286.2797577381134
12,0.9580555555555555,315.00286650657654
13,0.9668333333333333,343.67810916900635
14,0.9690555555555556,372.48324394226074
15,0.9666111111111111,401.4081482887268
16,0.9693888888888889,430.1913833618164
17,0.9697777777777777,459.0101408958435
18,0.9617222222222223,487.9093494415283
19,0.9721666666666666,516.5765368938446
20,0.9520555555555555,544.9837460517883
