epoch,accuracy,time_sec
1,0.4547777777777778,14.307397365570068
2,0.8833888888888889,29.00877618789673
3,0.9498333333333333,43.818254232406616
4,0.9816666666666667,58.6037437915802
5,0.9780555555555556,73.65147185325623
6,0.9775,88.42034101486206
7,0.9722222222222222,103.79548168182373
8,0.9720555555555556,118.81120347976685
9,0.9782222222222222,133.75750064849854
10,0.98,148.797758102417
11,0.9792222222222222,164.03645586967468
12,0.9784444444444444,180.32107830047607
13,0.9768333333333333,195.68659114837646
14,0.9687222222222223,211.09640669822693
15,0.9777777777777777,226.51130056381226
16,0.9781111111111112,242.11680626869202
17,0.9709444444444445,257.46111941337585
18,0.9781666666666666,272.88151359558105
19,0.9732777777777778,288.63726806640625
20,0.9785555555555555,304.1014471054077
