epoch,accuracy,time_sec
1,0.5848333333333333,25.511656045913696
2,0.9629444444444445,53.24698734283447
3,0.9557777777777777,80.76445865631104
4,0.9377222222222222,109.2078492641449
5,0.9386666666666666,136.79846239089966
6,0.8824444444444445,164.27332282066345
7,0.9222777777777778,192.168066740036
8,0.9300555555555555,219.9466483592987
9,0.9056111111111111,248.01812934875488
10,0.9410555555555555,275.841183423996
11,0.9364444444444444,304.027245759964
12,0.9437777777777778,332.0084054470062
13,0.9574444444444444,360.5309636592865
14,0.9452222222222222,388.7467510700226
15,0.9399444444444445,417.2870237827301
16,0.9418333333333333,445.5554766654968
17,0.9560555555555555,474.1513338088989
18,0.9567777777777777,502.368070602417
19,0.9707777777777777,531.1940622329712
20,0.9618333333333333,559.9664576053619
